,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
137,NZL,New Zealand,Wellington,-41.3,174.7833,4278000,4323000,4370000,4419000,4468000,4519000,4568000,4615000,4659000,4702000,4743000,4783000
138,OMN,Oman,Muscat,23.6133,58.5933,2751000,2876000,3041000,3251000,3498000,3765000,4027000,4267000,4479000,4666000,4829000,4975000
139,PAK,Pakistan,Islamabad,33.7,73.1666,171648992,175526000,179424992,183340000,187280000,191260992,195304992,199427008,203631008,207906000,212228000,216564992
140,PAN,Panama,Panama City,8.968,-79.533,3516000,3579000,3643000,3706000,3771000,3835000,3901000,3968000,4037000,4107000,4177000,4246000
141,PER,Peru,Lima,-12.048,-77.0501,28562000,28793000,29028000,29264000,29507000,29774000,30090000,30471000,30926000,31444000,31989000,32510000
142,PHL,Philippines,Manila,39.9289,120.9822,90902000,92414000,93967000,95570000,97213000,98872000,100513000,102113000,103664000,105173000,106651000,108117000
143,PLW,Palau,Ngerulmud,7.5,134.6242,19000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
144,PNG,Papua New Guinea,Port Moresby,-9.4647,147.1925,6976000,7145000,7311000,7472000,7631000,7788000,7947000,8108000,8272000,8438000,8606000,8776000
145,POL,Poland,Warsaw,52.25,21.0,38357000,38352000,38330000,38287000,38227000,38158000,38091000,38034000,37989000,37953000,37922000,37888000
146,PRK,"Korea, North",Pyongyang,39.0194,125.7547,24310000,24428000,24549000,24673000,24801000,24930000,25058000,25184000,25308000,25430000,25550000,25666000
147,PRT,Portugal,Lisbon,38.7227,-9.1449,10595000,10604000,10596000,10569000,10526000,10473000,10418000,10368000,10326000,10289000,10256000,10226000
148,PRY,Paraguay,Asunción,-25.2964,-57.6415,6081000,6164000,6248000,6334000,6422000,6510000,6600000,6689000,6778000,6867000,6956000,7045000
149,QAT,Qatar,Doha,25.2866,51.533,1437000,1655000,1856000,2036000,2196000,2337000,2459000,2566000,2654000,2725000,2782000,2832000
150,ROU,Romania,Bucharest,44.4334,26.0999,20830000,20638000,20472000,20337000,20227000,20133000,20036000,19925000,19796000,19654000,19506000,19365000
151,RUS,Russia,Moscow,55.7522,37.6155,143248992,143327008,143479008,143703008,143994000,144324992,144664992,144984992,145275008,145530000,145734000,145872000
152,RWA,Rwanda,Kigali,-1.9536,30.0605,9525000,9783000,10039000,10293000,10550000,10812000,11084000,11369000,11669000,11981000,12302000,12627000
153,SAU,Saudi Arabia,Riyadh,24.6408,46.7727,25889000,26630000,27421000,28268000,29155000,30052000,30917000,31718000,32443000,33101000,33703000,34269000
154,SDN,Sudan,Khartoum,15.5881,32.5342,33061000,33784000,34545000,35350000,36194000,37073000,37978000,38903000,39847000,40813000,41802000,42813000
155,SEN,Senegal,Dakar,14.7158,-17.4731,12005000,12335000,12678000,13034000,13402000,13782000,14175000,14578000,14994000,15419000,15854000,16296000
156,SGP,Singapore,Singapore,1.2930000000000001,103.8558,4776000,4967000,5131000,5264000,5369000,5454000,5526000,5592000,5654000,5708000,5758000,5804000
157,SLB,Solomon Islands,Honiara,-9.437999999999999,159.9498,503000,515000,528000,542000,556000,571000,587000,603000,619000,636000,653000,670000
158,SLE,Sierra Leone,Freetown,8.47,-13.2342,6134000,6273000,6416000,6563000,6713000,6864000,7017000,7172000,7329000,7488000,7650000,7813000
159,SLV,El Salvador,San Salvador,13.71,-89.20299999999999,6132000,6158000,6184000,6211000,6238000,6266000,6295000,6325000,6356000,6388000,6421000,6454000
160,SMR,San Marino,San Marino,43.9172,12.4667,30000,31000,31000,32000,32000,33000,33000,33000,34000,34000,34000,34000
161,SOM,Somalia,Mogadishu,2.0667,45.3667,11397000,11718000,12044000,12376000,12715000,13064000,13424000,13797000,14186000,14589000,15008000,15443000
162,SRB,Serbia,Belgrade,44.8186,20.468,9060000,9023000,8991000,8964000,8940000,8919000,8898000,8877000,8854000,8830000,8803000,8772000
163,SSD,South Sudan,Juba,4.83,31.58,8737000,9142000,9508000,9831000,10114000,10355000,10555000,10716000,10833000,10911000,10976000,11062000
164,STP,Sao Tome And Principe,São Tomé,0.3334,6.7333,171000,176000,180000,185000,188000,192000,196000,199000,203000,207000,211000,215000
165,SUR,Suriname,Paramaribo,5.835,-55.167,517000,523000,529000,535000,541000,547000,553000,559000,565000,571000,576000,581000
166,SVK,Slovakia,Bratislava,48.15,17.117,5399000,5401000,5404000,5409000,5415000,5422000,5429000,5436000,5442000,5448000,5453000,5457000
167,SVN,Slovenia,Ljubljana,46.0553,14.515,2023000,2034000,2043000,2051000,2058000,2063000,2067000,2071000,2074000,2076000,2078000,2079000
168,SWE,Sweden,Stockholm,59.3508,18.0973,9236000,9313000,9390000,9467000,9543000,9618000,9692000,9765000,9836000,9905000,9972000,10036000
169,SWZ,Swaziland,Mbabane,-26.3167,31.1333,1050000,1057000,1065000,1072000,1079000,1087000,1095000,1104000,1114000,1125000,1136000,1148000
170,SXM,Sint Maarten,Philipsburg,18.0255,-63.045,33000,34000,34000,35000,36000,38000,39000,40000,41000,41000,42000,42000
171,SYC,Seychelles,Victoria,-4.6166,55.45,90000,91000,91000,92000,93000,93000,94000,95000,96000,96000,97000,98000
172,SYR,Syria,Damascus,33.5,36.3,20664000,21206000,21363000,21082000,20439000,19578000,18711000,17997000,17466000,17096000,16945000,17070000
173,TCD,Chad,N’Djamena,12.1131,15.0491,11184000,11560000,11952000,12361000,12785000,13220000,13664000,14111000,14562000,15017000,15478000,15947000
174,TGO,Togo,Lomé,6.1319,1.2228,6083000,6251000,6422000,6596000,6774000,6955000,7138000,7323000,7510000,7698000,7889000,8082000
175,THA,Thailand,Bangkok,13.75,100.5166,66531000,66867000,67195000,67518000,67836000,68145000,68439000,68715000,68971000,69210000,69428000,69626000
176,TJK,Tajikistan,Dushanbe,38.56,68.7739,7210000,7365000,7527000,7698000,7875000,8060000,8253000,8454000,8664000,8880000,9101000,9321000
177,TKM,Turkmenistan,Ashgabat,37.95,58.3833,4936000,5008000,5087000,5174000,5268000,5366000,5466000,5565000,5662000,5758000,5851000,5942000
178,TLS,Timor-Leste,Dili,-8.5594,125.5795,1055000,1074000,1094000,1113000,1133000,1153000,1174000,1196000,1219000,1243000,1268000,1293000
179,TON,Tonga,Nuku‘alofa,-21.1385,-175.22099999999998,103000,104000,104000,104000,103000,102000,101000,101000,101000,102000,103000,104000
180,TTO,Trinidad And Tobago,Port of Spain,10.652000000000001,-61.516999999999996,1314000,1321000,1328000,1336000,1345000,1354000,1362000,1370000,1378000,1384000,1390000,1395000
181,TUN,Tunisia,Tunis,36.8028,10.1797,10414000,10526000,10635000,10742000,10847000,10953000,11063000,11180000,11304000,11433000,11565000,11695000
182,TUR,Turkey,Ankara,39.9272,32.8644,70419000,71321000,72327000,73443000,74651000,75925000,77229000,78529000,79828000,81116000,82340000,83430000
183,TUV,Tuvalu,Funafuti,-8.5167,179.2166,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000
184,TWN,Taiwan,Taipei,25.0358,121.5683,23019000,23105000,23188000,23269000,23347000,23422000,23492000,23557000,23618000,23675000,23726000,23774000
185,TZA,Tanzania,Dodoma,-6.1833,35.75,41854000,43074000,44347000,45674000,47053000,48483000,49961000,51483000,53049000,54660000,56313000,58005000
